vot_proCodigoProvincia,vot_depCodigoDepartamento,vot_munCodigoMunicipio,vot_mesCodigoCircuito,vot_mesCodigoMesa,vot_mesCodSexo,vot_parCodigo,ordenPartidos,votVotosPartido,votOrdenActa,rowid
04,001,112,0001 ,0010,X,0013,1,0,,485981
04,001,112,0001 ,0010,X,0057,2,0,,485982
04,001,112,0001 ,0010,X,0081,3,2,,485983
04,001,112,0001 ,0010,X,0131,4,42,,485984
04,001,112,0001 ,0010,X,0132,5,8,,485985
04,001,112,0001 ,0010,X,0133,6,4,,485986
04,001,112,0001 ,0010,X,0134,7,1,,485987
04,001,112,0001 ,0010,X,0135,8,122,,485988
04,001,112,0001 ,0010,X,0136,9,0,,485989
04,001,112,0001 ,0010,X,0137,10,15,,485990
04,001,112,0001 ,0010,X,0138,11,47,,485991
04,001,112,0001 ,0011,X,0013,1,0,,485992
04,001,112,0001 ,0011,X,0057,2,1,,485993
04,001,112,0001 ,0011,X,0081,3,0,,485994
04,001,112,0001 ,0011,X,0131,4,27,,485995
04,001,112,0001 ,0011,X,0132,5,7,,485996
04,001,112,0001 ,0011,X,0133,6,5,,485997
04,001,112,0001 ,0011,X,0134,7,2,,485998
04,001,112,0001 ,0011,X,0135,8,116,,485999
04,001,112,0001 ,0011,X,0136,9,1,,486000
04,001,112,0001 ,0011,X,0137,10,12,,486001
04,001,112,0001 ,0011,X,0138,11,43,,486002
04,001,112,0001 ,0012,X,0013,1,0,,486003
04,001,112,0001 ,0012,X,0057,2,1,,486004
04,001,112,0001 ,0012,X,0081,3,1,,486005
04,001,112,0001 ,0012,X,0131,4,31,,486006
04,001,112,0001 ,0012,X,0132,5,14,,486007
04,001,112,0001 ,0012,X,0133,6,4,,486008
04,001,112,0001 ,0012,X,0134,7,1,,486009
04,001,112,0001 ,0012,X,0135,8,103,,486010
04,001,112,0001 ,0012,X,0136,9,1,,486011
04,001,112,0001 ,0012,X,0137,10,14,,486012
04,001,112,0001 ,0012,X,0138,11,56,,486013
04,001,112,0001 ,0013,X,0013,1,4,,486014
04,001,112,0001 ,0013,X,0057,2,0,,486015
04,001,112,0001 ,0013,X,0081,3,0,,486016
04,001,112,0001 ,0013,X,0131,4,30,,486017
04,001,112,0001 ,0013,X,0132,5,9,,486018
04,001,112,0001 ,0013,X,0133,6,7,,486019
04,001,112,0001 ,0013,X,0134,7,1,,486020
04,001,112,0001 ,0013,X,0135,8,118,,486021
04,001,112,0001 ,0013,X,0136,9,0,,486022
04,001,112,0001 ,0013,X,0137,10,16,,486023
04,001,112,0001 ,0013,X,0138,11,37,,486024
04,001,112,0001 ,0014,X,0013,1,2,,486025
04,001,112,0001 ,0014,X,0057,2,0,,486026
04,001,112,0001 ,0014,X,0081,3,3,,486027
04,001,112,0001 ,0014,X,0131,4,38,,486028
04,001,112,0001 ,0014,X,0132,5,12,,486029
04,001,112,0001 ,0014,X,0133,6,8,,486030
04,001,112,0001 ,0014,X,0134,7,1,,486031
04,001,112,0001 ,0014,X,0135,8,110,,486032
04,001,112,0001 ,0014,X,0136,9,1,,486033
04,001,112,0001 ,0014,X,0137,10,10,,486034
04,001,112,0001 ,0014,X,0138,11,46,,486035
04,001,112,0001 ,0015,X,0013,1,1,,486036
04,001,112,0001 ,0015,X,0057,2,0,,486037
04,001,112,0001 ,0015,X,0081,3,0,,486038
04,001,112,0001 ,0015,X,0131,4,25,,486039
04,001,112,0001 ,0015,X,0132,5,13,,486040
04,001,112,0001 ,0015,X,0133,6,5,,486041
04,001,112,0001 ,0015,X,0134,7,1,,486042
04,001,112,0001 ,0015,X,0135,8,114,,486043
04,001,112,0001 ,0015,X,0136,9,2,,486044
04,001,112,0001 ,0015,X,0137,10,10,,486045
04,001,112,0001 ,0015,X,0138,11,42,,486046
04,001,112,0001 ,0016,X,0013,1,3,,486047
04,001,112,0001 ,0016,X,0057,2,0,,486048
04,001,112,0001 ,0016,X,0081,3,0,,486049
04,001,112,0001 ,0016,X,0131,4,29,,486050
04,001,112,0001 ,0016,X,0132,5,10,,486051
04,001,112,0001 ,0016,X,0133,6,7,,486052
04,001,112,0001 ,0016,X,0134,7,2,,486053
04,001,112,0001 ,0016,X,0135,8,123,,486054
04,001,112,0001 ,0016,X,0136,9,2,,486055
04,001,112,0001 ,0016,X,0137,10,13,,486056
04,001,112,0001 ,0016,X,0138,11,32,,486057
04,001,112,0001 ,0017,X,0013,1,0,,486058
04,001,112,0001 ,0017,X,0057,2,0,,486059
04,001,112,0001 ,0017,X,0081,3,2,,486060
04,001,112,0001 ,0017,X,0131,4,34,,486061
04,001,112,0001 ,0017,X,0132,5,6,,486062
04,001,112,0001 ,0017,X,0133,6,6,,486063
04,001,112,0001 ,0017,X,0134,7,3,,486064
04,001,112,0001 ,0017,X,0135,8,103,,486065
04,001,112,0001 ,0017,X,0136,9,1,,486066
04,001,112,0001 ,0017,X,0137,10,12,,486067
04,001,112,0001 ,0017,X,0138,11,43,,486068
04,001,112,0001 ,0018,X,0013,1,1,,486069
04,001,112,0001 ,0018,X,0057,2,3,,486070
04,001,112,0001 ,0018,X,0081,3,0,,486071
04,001,112,0001 ,0018,X,0131,4,27,,486072
04,001,112,0001 ,0018,X,0132,5,7,,486073
04,001,112,0001 ,0018,X,0133,6,3,,486074
04,001,112,0001 ,0018,X,0134,7,4,,486075
04,001,112,0001 ,0018,X,0135,8,132,,486076
04,001,112,0001 ,0018,X,0136,9,0,,486077
04,001,112,0001 ,0018,X,0137,10,12,,486078
04,001,112,0001 ,0018,X,0138,11,44,,486079
04,001,112,0001 ,0019,X,0013,1,0,,486080
04,001,112,0001 ,0019,X,0057,2,0,,486081
04,001,112,0001 ,0019,X,0081,3,0,,486082
04,001,112,0001 ,0019,X,0131,4,28,,486083
04,001,112,0001 ,0019,X,0132,5,7,,486084
04,001,112,0001 ,0019,X,0133,6,3,,486085
04,001,112,0001 ,0019,X,0134,7,3,,486086
04,001,112,0001 ,0019,X,0135,8,127,,486087
04,001,112,0001 ,0019,X,0136,9,1,,486088
04,001,112,0001 ,0019,X,0137,10,12,,486089
04,001,112,0001 ,0019,X,0138,11,43,,486090
04,001,112,0001 ,0020,X,0013,1,0,,486091
04,001,112,0001 ,0020,X,0057,2,1,,486092
04,001,112,0001 ,0020,X,0081,3,0,,486093
04,001,112,0001 ,0020,X,0131,4,35,,486094
04,001,112,0001 ,0020,X,0132,5,11,,486095
04,001,112,0001 ,0020,X,0133,6,3,,486096
04,001,112,0001 ,0020,X,0134,7,1,,486097
04,001,112,0001 ,0020,X,0135,8,123,,486098
04,001,112,0001 ,0020,X,0136,9,1,,486099
04,001,112,0001 ,0020,X,0137,10,15,,486100
04,001,112,0001 ,0020,X,0138,11,41,,486101
04,001,112,0001 ,0021,X,0013,1,2,,486102
04,001,112,0001 ,0021,X,0057,2,0,,486103
04,001,112,0001 ,0021,X,0081,3,2,,486104
04,001,112,0001 ,0021,X,0131,4,30,,486105
04,001,112,0001 ,0021,X,0132,5,4,,486106
04,001,112,0001 ,0021,X,0133,6,6,,486107
04,001,112,0001 ,0021,X,0134,7,4,,486108
04,001,112,0001 ,0021,X,0135,8,97,,486109
04,001,112,0001 ,0021,X,0136,9,0,,486110
04,001,112,0001 ,0021,X,0137,10,19,,486111
04,001,112,0001 ,0021,X,0138,11,48,,486112
04,001,112,0001 ,0022,X,0013,1,1,,486113
04,001,112,0001 ,0022,X,0057,2,0,,486114
04,001,112,0001 ,0022,X,0081,3,0,,486115
04,001,112,0001 ,0022,X,0131,4,25,,486116
04,001,112,0001 ,0022,X,0132,5,10,,486117
04,001,112,0001 ,0022,X,0133,6,7,,486118
04,001,112,0001 ,0022,X,0134,7,3,,486119
04,001,112,0001 ,0022,X,0135,8,141,,486120
04,001,112,0001 ,0022,X,0136,9,0,,486121
04,001,112,0001 ,0022,X,0137,10,11,,486122
04,001,112,0001 ,0022,X,0138,11,45,,486123
04,001,112,0001 ,0023,X,0013,1,1,,486124
04,001,112,0001 ,0023,X,0057,2,0,,486125
04,001,112,0001 ,0023,X,0081,3,2,,486126
04,001,112,0001 ,0023,X,0131,4,28,,486127
04,001,112,0001 ,0023,X,0132,5,7,,486128
04,001,112,0001 ,0023,X,0133,6,3,,486129
04,001,112,0001 ,0023,X,0134,7,0,,486130
04,001,112,0001 ,0023,X,0135,8,102,,486131
04,001,112,0001 ,0023,X,0136,9,1,,486132
04,001,112,0001 ,0023,X,0137,10,10,,486133
04,001,112,0001 ,0023,X,0138,11,42,,486134
04,001,112,0001 ,0024,X,0013,1,1,,486135
04,001,112,0001 ,0024,X,0057,2,0,,486136
04,001,112,0001 ,0024,X,0081,3,0,,486137
04,001,112,0001 ,0024,X,0131,4,32,,486138
04,001,112,0001 ,0024,X,0132,5,12,,486139
04,001,112,0001 ,0024,X,0133,6,3,,486140
04,001,112,0001 ,0024,X,0134,7,3,,486141
04,001,112,0001 ,0024,X,0135,8,118,,486142
04,001,112,0001 ,0024,X,0136,9,1,,486143
04,001,112,0001 ,0024,X,0137,10,17,,486144
04,001,112,0001 ,0024,X,0138,11,43,,486145
04,001,112,0001 ,0025,X,0013,1,1,,486146
04,001,112,0001 ,0025,X,0057,2,0,,486147
04,001,112,0001 ,0025,X,0081,3,3,,486148
04,001,112,0001 ,0025,X,0131,4,32,,486149
04,001,112,0001 ,0025,X,0132,5,10,,486150
04,001,112,0001 ,0025,X,0133,6,4,,486151
04,001,112,0001 ,0025,X,0134,7,1,,486152
04,001,112,0001 ,0025,X,0135,8,105,,486153
04,001,112,0001 ,0025,X,0136,9,1,,486154
04,001,112,0001 ,0025,X,0137,10,12,,486155
04,001,112,0001 ,0025,X,0138,11,53,,486156
04,001,112,0001 ,0026,X,0013,1,3,,486157
04,001,112,0001 ,0026,X,0057,2,1,,486158
04,001,112,0001 ,0026,X,0081,3,1,,486159
04,001,112,0001 ,0026,X,0131,4,28,,486160
04,001,112,0001 ,0026,X,0132,5,12,,486161
04,001,112,0001 ,0026,X,0133,6,5,,486162
04,001,112,0001 ,0026,X,0134,7,2,,486163
04,001,112,0001 ,0026,X,0135,8,124,,486164
04,001,112,0001 ,0026,X,0136,9,1,,486165
04,001,112,0001 ,0026,X,0137,10,11,,486166
04,001,112,0001 ,0026,X,0138,11,44,,486167
04,001,112,0001 ,0027,X,0013,1,0,,486168
04,001,112,0001 ,0027,X,0057,2,0,,486169
04,001,112,0001 ,0027,X,0081,3,1,,486170
04,001,112,0001 ,0027,X,0131,4,40,,486171
04,001,112,0001 ,0027,X,0132,5,9,,486172
04,001,112,0001 ,0027,X,0133,6,2,,486173
04,001,112,0001 ,0027,X,0134,7,1,,486174
04,001,112,0001 ,0027,X,0135,8,127,,486175
04,001,112,0001 ,0027,X,0136,9,2,,486176
04,001,112,0001 ,0027,X,0137,10,8,,486177
04,001,112,0001 ,0027,X,0138,11,34,,486178
04,001,112,0001 ,0028,X,0013,1,0,,486179
04,001,112,0001 ,0028,X,0057,2,1,,486180
04,001,112,0001 ,0028,X,0081,3,0,,486181
04,001,112,0001 ,0028,X,0131,4,22,,486182
04,001,112,0001 ,0028,X,0132,5,10,,486183
04,001,112,0001 ,0028,X,0133,6,1,,486184
04,001,112,0001 ,0028,X,0134,7,2,,486185
04,001,112,0001 ,0028,X,0135,8,25,,486186
04,001,112,0001 ,0028,X,0136,9,0,,486187
04,001,112,0001 ,0028,X,0137,10,15,,486188
04,001,112,0001 ,0028,X,0138,11,47,,486189
04,001,112,0001 ,0029,X,0013,1,0,,486190
04,001,112,0001 ,0029,X,0057,2,0,,486191
04,001,112,0001 ,0029,X,0081,3,1,,486192
04,001,112,0001 ,0029,X,0131,4,22,,486193
04,001,112,0001 ,0029,X,0132,5,10,,486194
04,001,112,0001 ,0029,X,0133,6,6,,486195
04,001,112,0001 ,0029,X,0134,7,1,,486196
04,001,112,0001 ,0029,X,0135,8,127,,486197
04,001,112,0001 ,0029,X,0136,9,1,,486198
04,001,112,0001 ,0029,X,0137,10,18,,486199
04,001,112,0001 ,0029,X,0138,11,38,,486200
04,001,112,0001 ,0030,X,0013,1,1,,486201
04,001,112,0001 ,0030,X,0057,2,0,,486202
04,001,112,0001 ,0030,X,0081,3,1,,486203
04,001,112,0001 ,0030,X,0131,4,34,,486204
04,001,112,0001 ,0030,X,0132,5,10,,486205
04,001,112,0001 ,0030,X,0133,6,5,,486206
04,001,112,0001 ,0030,X,0134,7,3,,486207
04,001,112,0001 ,0030,X,0135,8,102,,486208
04,001,112,0001 ,0030,X,0136,9,0,,486209
04,001,112,0001 ,0030,X,0137,10,14,,486210
04,001,112,0001 ,0030,X,0138,11,39,,486211
04,001,112,0001 ,0031,X,0013,1,1,,486212
04,001,112,0001 ,0031,X,0057,2,0,,486213
04,001,112,0001 ,0031,X,0081,3,0,,486214
04,001,112,0001 ,0031,X,0131,4,30,,486215
04,001,112,0001 ,0031,X,0132,5,0,,486216
04,001,112,0001 ,0031,X,0133,6,7,,486217
04,001,112,0001 ,0031,X,0134,7,0,,486218
04,001,112,0001 ,0031,X,0135,8,119,,486219
04,001,112,0001 ,0031,X,0136,9,0,,486220
04,001,112,0001 ,0031,X,0137,10,8,,486221
04,001,112,0001 ,0031,X,0138,11,46,,486222
04,001,112,0001 ,0032,X,0013,1,0,,486223
04,001,112,0001 ,0032,X,0057,2,1,,486224
04,001,112,0001 ,0032,X,0081,3,0,,486225
04,001,112,0001 ,0032,X,0131,4,31,,486226
04,001,112,0001 ,0032,X,0132,5,10,,486227
04,001,112,0001 ,0032,X,0133,6,4,,486228
04,001,112,0001 ,0032,X,0134,7,2,,486229
04,001,112,0001 ,0032,X,0135,8,98,,486230
04,001,112,0001 ,0032,X,0136,9,1,,486231
04,001,112,0001 ,0032,X,0137,10,18,,486232
04,001,112,0001 ,0032,X,0138,11,48,,486233
04,001,112,0001 ,0033,X,0013,1,1,,486234
04,001,112,0001 ,0033,X,0057,2,1,,486235
04,001,112,0001 ,0033,X,0081,3,1,,486236
04,001,112,0001 ,0033,X,0131,4,35,,486237
04,001,112,0001 ,0033,X,0132,5,12,,486238
04,001,112,0001 ,0033,X,0133,6,2,,486239
04,001,112,0001 ,0033,X,0134,7,7,,486240
04,001,112,0001 ,0033,X,0135,8,105,,486241
04,001,112,0001 ,0033,X,0136,9,0,,486242
04,001,112,0001 ,0033,X,0137,10,15,,486243
04,001,112,0001 ,0033,X,0138,11,41,,486244
04,001,112,0001 ,0034,X,0013,1,2,,486245
04,001,112,0001 ,0034,X,0057,2,0,,486246
04,001,112,0001 ,0034,X,0081,3,1,,486247
04,001,112,0001 ,0034,X,0131,4,42,,486248
04,001,112,0001 ,0034,X,0132,5,12,,486249
04,001,112,0001 ,0034,X,0133,6,2,,486250
04,001,112,0001 ,0034,X,0134,7,2,,486251
04,001,112,0001 ,0034,X,0135,8,99,,486252
04,001,112,0001 ,0034,X,0136,9,1,,486253
04,001,112,0001 ,0034,X,0137,10,11,,486254
04,001,112,0001 ,0034,X,0138,11,58,,486255
04,001,112,0001 ,0035,X,0013,1,1,,486256
04,001,112,0001 ,0035,X,0057,2,0,,486257
04,001,112,0001 ,0035,X,0081,3,0,,486258
04,001,112,0001 ,0035,X,0131,4,35,,486259
04,001,112,0001 ,0035,X,0132,5,11,,486260
04,001,112,0001 ,0035,X,0133,6,9,,486261
04,001,112,0001 ,0035,X,0134,7,0,,486262
04,001,112,0001 ,0035,X,0135,8,125,,486263
04,001,112,0001 ,0035,X,0136,9,0,,486264
04,001,112,0001 ,0035,X,0137,10,10,,486265
04,001,112,0001 ,0035,X,0138,11,41,,486266
04,001,112,0001 ,0036,X,0013,1,0,,486267
04,001,112,0001 ,0036,X,0057,2,1,,486268
04,001,112,0001 ,0036,X,0081,3,0,,486269
04,001,112,0001 ,0036,X,0131,4,17,,486270
04,001,112,0001 ,0036,X,0132,5,8,,486271
04,001,112,0001 ,0036,X,0133,6,2,,486272
04,001,112,0001 ,0036,X,0134,7,2,,486273
04,001,112,0001 ,0036,X,0135,8,118,,486274
04,001,112,0001 ,0036,X,0136,9,1,,486275
04,001,112,0001 ,0036,X,0137,10,13,,486276
04,001,112,0001 ,0036,X,0138,11,53,,486277
04,001,112,0001 ,0037,X,0013,1,1,,486278
04,001,112,0001 ,0037,X,0057,2,0,,486279
04,001,112,0001 ,0037,X,0081,3,1,,486280
