Seccion,Circuito,Escuela,Direccion,votos,Mesa desde, Mesa hasta,Lat,Long
3,27,ESCUELA DR. PABLO RUEDA,LA GRANJA,2130,3223,3230,-64.2676092,-31.0082966
3,28,ESC ELADIO DIEZ,ALVEAR ESQ SARMIENTO,2168,3231,3238,-64.3409535567,-31.3405455034
3,28,ESCUELA PROV.J.J.PASO-CENMA,CALERA,2988,3257,3267,-64.3361549788,-31.3401888537
3,28,INSTITUTO D.F.SARMIENTO,CALERA,4788,3239,3256,-64.3347340346,-31.3429528787
3,28,INSTITUTO JESUS MARIA,CALERA,2102,3268,3276,-64.3347476686,-31.3430828233
3,29,ESC. PRESBITERO BONORIS,COLONIA CAROYA 0,2944,3327,3337,-64.0629449797,-31.0209355979
3,29,ESC. PROV. GRAL SAN MARTIN,MAESTRA OLGA PROSDOCIMO  3580,2776,3317,3326,-64.0663728216,-31.0212250469
3,29,ESC.PROV. M. BELGRANO,COLONIA CAROYA,2772,3307,3316,-64.0904166221,-31.0086531439
3,29,ESCUELA M. MORENO,JUSTINIANO CELIZ HEREDIA 650,2179,3338,3345,-64.0433396967,-31.0464305052
3,29,IPEM 165 ANEXO J.BONORIS,COLONIA CAROYA,1657,3346,3351,-64.0629449797,-31.0209355979
3,30,ESC PROV DR PABLO RUEDA,PUBLICA S/N,1314,3361,3365,-64.0675929922,-31.2282770053
3,30,ESCUELA NACIONAL N°31,PUBLICA-SANTA ELENA RUTA  74KM22,1895,3353,3360,-64.066999506,-31.2405286009
3,31,ESC.PROV.A.ARGENTINA,EL MANZANO SOBRE RUTA E 53,728,3366,3368,-64.2897140915,-31.0920076336
3,32,ESC PROV GRAL JOSE MARIA PAZ,BUENOS AIRES Y CORDOBA,1185,3376,3381,-64.1406522,-31.1352458
3,33,ESC.N°21 GENDARMERIA NACIONAL,JESUS MARIA,2562,3450,3460,-64.0909252877,-30.9770007283
3,33,ESC.DR. J.M.ESTRADA N° 221,CATAMARCA Y ESTRADA 0,3313,3410,3422,-64.1039127596,-30.9826767425
3,33,ESC.PROV.1ER.TTE.MORANDINI,CHILE -SAN JOSE OBRERO 222,2851,3423,3434,-64.0942445553,-30.9858552539
3,33,ESC.PROVC.F.O. DE OCAMPO,AV. DR. FRANCISCO N. DE  LAPRIDA 649 649,3371,3435,3449,-64.0949956674,-30.9808674341
3,33,I.P.E.T.N° 69,JESUS MARIA,3369,3397,3409,-64.0950703401,-30.9863514536
3,33,PTE DOMINGO F SARMIENTO,CORDOBA (PARALEA A JUAN B  JUSTO) 1050,3797,3382,3396,-64.0983922981,-30.9843111575
3,34,ESC PROV LEOPOLDO LUGONES,VILLA LOS LLANOS 0,2104,3462,3469,-64.1670194357,-31.2799575182
3,34,ESC.ATAHUALPA YUPANQUI,BARRIO PARQUE NORTE,2130,3478,3485,-64.1803797522,-31.2999639949
3,34,ESC.COM.R. SILIONI,JUAREZ CELMAN,2085,3470,3477,-64.1667900001,-31.2615429949
3,35,ESC.CAP.LUIS C.CANDELARIA,MALVINAS ARGENTINAS,2099,3486,3494,-64.043335795,-31.3666216922
3,35,ESC.MUNIC.CIUDAD DE M.ARGENTIN,MALVINAS ARGENTINAS,1897,3495,3502,-64.0462060001,-31.3741939948
3,35,I.P.E.M. N° 24,JUJUY ESQ. SARMIENTO S/N  MALVINAS AR 0,2959,3503,3514,-64.0537650001,-31.3806299948
3,36,ESC PROV SARGENTO CABRAL,PUBLICA S/N,220,3518,3518,-64.0671889584,-31.164950274
3,37,ESC.CONSTANCIO C. VIGIL,1 MAYO B° MOREYRA 112,1812,3560,3566,-64.3288800004,-31.1649906064
