"",ELECTORES HABILES ,511.624,"",""
"",MESAS: ,1.584 ,"",(Inlcuye P.L.)
"",PORCENTAJE DE VOTANTES ,"77,13%","",""
"",FORMULAS - AGRUPACIONES POLITICAS ,VOTOS ,% POSITIVOS ,% VALIDOS
  131 ,ALIANZA FRENTE PARA LA VICTORIA ,157.209 ,"41,99% ","40,35%"
"","SCIOLI, DANIEL OSVALDO - ZANNINI, CARLOS ALBERTO  ",157.209 ,100%,""
  135 ,ALIANZA CAMBIEMOS ,86.266 ,"23,04% ","22,14%"
"","MACRI, MAURICIO - MICHETTI, MARTA GABRIELA  ",60.815 ,"70,50%",""
"","SANZ, ERNESTO RICARDO - LLACH, LUCAS  ",20.132 ,"23,34%",""
"","CARRIO, ELISA MARIA AVELINA - FLORES, HECTOR ANTONIO  ",5.319 ,"6,17%",""
  138 ,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA) ,100.906 ,"26,95% ","25,90%"
"","MASSA, SERGIO TOMAS - RUBERTO SAENZ, GUSTAVO ADOLFO  ",72.712 ,"72,06%",""
"","DE LA SOTA, JOSE MANUEL - RUCCI, CLAUDIA MONICA  ",28.194 ,"27,94%",""
  132 ,ALIANZA PROGRESISTAS ,5.193 ,"1,39% ","1,33%"
"","STOLBIZER, MARGARITA ROSA - OLAVIAGA, MIGUEL ANGEL  ",5.193 ,100%,""
  137 ,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES ,14.558 ,"3,89% ","3,74%"
"","DEL CAÑO, NICOLAS - BREGMAN, MYRIAM TERESA  ",10.367 ,"71,21%",""
"","ALTAMIRA, JORGE - GIORDANO, JUAN CARLOS  ",4.191 ,"28,79%",""
  133 ,ALIANZA COMPROMISO FEDERAL ,2.738 ,"0,73% ","0,70%"
"","RODRIGUEZ SAA, ADOLFO - NEGRE DE ALONSO, LILIANA TERESITA  ",2.738 ,100%,""
  136 ,ALIANZA FRENTE POPULAR ,1.981 ,"0,53% ","0,51%"
"","DE GENNARO, VICTOR NORBERTO - CODONI, EVANGELINA SOLEDAD  ",1.981 ,100%,""
13 ,MOVIMIENTO AL SOCIALISMO ,1.834 ,"0,49% ","0,47%"
"","CASTAÑEIRA, MANUELA JIMENA - AYALA, JORGE LUIS  ",1.834 ,100%,""
  134 ,MST - NUEVA IZQUIERDA ,2.002 ,"0,53% ","0,51%"
"","BODART, HUGO ALEJANDRO - RIPOLL, VILMA ANA  ",2.002 ,100%,""
81 ,PARTIDO POPULAR ,974 ,"0,26% ","0,25%"
"","YATTAH, MAURICIO JORGE - MORETTA, MARIA BELEN  ",974 ,100%,""
57 ,MOVIMIENTO DE ACCION VECINAL ,768 ,"0,21% ","0,20%"
"","ALBARRACIN, RAUL HUMBERTO - DIB, GASTON  ",768 ,100%,""
"",VOTOS POSITIVOS  ,374.429 ,"94,89%",""
"",VOTOS EN BLANCO  ,15.200 ,"3,85%",""
"",VOTOS ANULADOS  ,4.981 ,"1,26%",""
"",TOTAL DE  VOTANTES  ,394.610 ,"",""
