"",ELECTORES HABILES ,416.652,"",""
"",MESAS: ,1.243 ,"",""
"",PORCENTAJE DE VOTANTES ,"76,50%","",""
"",FORMULAS - AGRUPACIONES POLITICAS ,VOTOS ,% POSITIVOS ,% VALIDOS
  131 ,ALIANZA FRENTE PARA LA VICTORIA ,112.425 ,"47,78% ","36,01%"
"","SCIOLI, DANIEL OSVALDO - ZANNINI, CARLOS ALBERTO  ",112.425 ,100%,""
  135 ,ALIANZA CAMBIEMOS ,54.094 ,"22,99% ","17,32%"
"","MACRI, MAURICIO - MICHETTI, MARTA GABRIELA  ",44.361 ,"82,01%",""
"","SANZ, ERNESTO RICARDO - LLACH, LUCAS  ",8.003 ,"14,79%",""
"","CARRIO, ELISA MARIA AVELINA - FLORES, HECTOR ANTONIO  ",1.730 ,"3,20%",""
  138 ,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA) ,45.130 ,"19,18% ","14,45%"
"","MASSA, SERGIO TOMAS - RUBERTO SAENZ, GUSTAVO ADOLFO  ",36.362 ,"80,57%",""
"","DE LA SOTA, JOSE MANUEL - RUCCI, CLAUDIA MONICA  ",8.768 ,"19,43%",""
  132 ,ALIANZA PROGRESISTAS ,7.020 ,"2,98% ","2,25%"
"","STOLBIZER, MARGARITA ROSA - OLAVIAGA, MIGUEL ANGEL  ",7.020 ,100%,""
  137 ,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES ,5.132 ,"2,18% ","1,64%"
"","DEL CAÑO, NICOLAS - BREGMAN, MYRIAM TERESA  ",2.803 ,"54,62%",""
"","ALTAMIRA, JORGE - GIORDANO, JUAN CARLOS  ",2.329 ,"45,38%",""
  133 ,ALIANZA COMPROMISO FEDERAL ,2.834 ,"1,20% ","0,91%"
"","RODRIGUEZ SAA, ADOLFO - NEGRE DE ALONSO, LILIANA TERESITA  ",2.834 ,100%,""
  136 ,ALIANZA FRENTE POPULAR ,1.889 ,"0,80% ","0,60%"
"","DE GENNARO, VICTOR NORBERTO - CODONI, EVANGELINA SOLEDAD  ",1.889 ,100%,""
13 ,MOVIMIENTO AL SOCIALISMO ,1.993 ,"0,85% ","0,64%"
"","CASTAÑEIRA, MANUELA JIMENA - AYALA, JORGE LUIS  ",1.993 ,100%,""
  134 ,MST - NUEVA IZQUIERDA ,2.500 ,"1,06% ","0,80%"
"","BODART, HUGO ALEJANDRO - RIPOLL, VILMA ANA  ",2.500 ,100%,""
81 ,PARTIDO POPULAR ,1.441 ,"0,61% ","0,46%"
"","YATTAH, MAURICIO JORGE - MORETTA, MARIA BELEN  ",1.441 ,100%,""
57 ,MOVIMIENTO DE ACCION VECINAL ,844 ,"0,36% ","0,27%"
"","ALBARRACIN, RAUL HUMBERTO - DIB, GASTON  ",844 ,100%,""
"",VOTOS POSITIVOS  ,235.302 ,"73,82%",""
"",VOTOS EN BLANCO  ,76.930 ,"24,13%",""
"",VOTOS ANULADOS  ,6.522 ,"2,05%",""
"",TOTAL DE  VOTANTES  ,318.754 ,"",""
