"",ELECTORES HABILES ,2.687.061,"",""
"",MESAS: ,7.935 ,"",(Incluye P.L.)
"",PORCENTAJE DE VOTANTES ,"67,19%","",""
"",FORMULAS - AGRUPACIONES POLITICAS ,VOTOS ,% POSITIVOS ,% VALIDOS
  131 ,ALIANZA FRENTE PARA LA VICTORIA ,550.970 ,"33,03% ","31,18%"
"","SCIOLI, DANIEL OSVALDO - ZANNINI, CARLOS ALBERTO  ",550.970 ,100%,""
  135 ,ALIANZA CAMBIEMOS ,533.398 ,"31,97% ","30,18%"
"","MACRI, MAURICIO - MICHETTI, MARTA GABRIELA  ",434.764 ,"81,51%",""
"","SANZ, ERNESTO RICARDO - LLACH, LUCAS  ",40.991 ,"7,68%",""
"","CARRIO, ELISA MARIA AVELINA - FLORES, HECTOR ANTONIO  ",57.643 ,"10,81%",""
  138 ,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA) ,368.693 ,"22,10% ","20,86%"
"","MASSA, SERGIO TOMAS - RUBERTO SAENZ, GUSTAVO ADOLFO  ",227.714 ,"61,76%",""
"","DE LA SOTA, JOSE MANUEL - RUCCI, CLAUDIA MONICA  ",140.979 ,"38,24%",""
  132 ,ALIANZA PROGRESISTAS ,102.997 ,"6,17% ","5,83%"
"","STOLBIZER, MARGARITA ROSA - OLAVIAGA, MIGUEL ANGEL  ",102.997 ,100%,""
  137 ,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES ,37.121 ,"2,23% ","2,10%"
"","DEL CAÑO, NICOLAS - BREGMAN, MYRIAM TERESA  ",21.064 ,"56,74%",""
"","ALTAMIRA, JORGE - GIORDANO, JUAN CARLOS  ",16.057 ,"43,26%",""
  133 ,ALIANZA COMPROMISO FEDERAL ,47.438 ,"2,84% ","2,68%"
"","RODRIGUEZ SAA, ADOLFO - NEGRE DE ALONSO, LILIANA TERESITA  ",47.438 ,100%,""
  136 ,ALIANZA FRENTE POPULAR ,8.257 ,"0,49% ","0,47%"
"","DE GENNARO, VICTOR NORBERTO - CODONI, EVANGELINA SOLEDAD  ",8.257 ,100%,""
13 ,MOVIMIENTO AL SOCIALISMO ,6.324 ,"0,38% ","0,36%"
"","CASTAÑEIRA, MANUELA JIMENA - AYALA, JORGE LUIS  ",6.324 ,100%,""
  134 ,MST - NUEVA IZQUIERDA ,6.220 ,"0,37% ","0,35%"
"","BODART, HUGO ALEJANDRO - RIPOLL, VILMA ANA  ",6.220 ,100%,""
81 ,PARTIDO POPULAR ,4.468 ,"0,27% ","0,25%"
"","YATTAH, MAURICIO JORGE - MORETTA, MARIA BELEN  ",4.468 ,100%,""
57 ,MOVIMIENTO DE ACCION VECINAL ,2.364 ,"0,14% ","0,13%"
"","ALBARRACIN, RAUL HUMBERTO - DIB, GASTON  ",2.364 ,100%,""
"",VOTOS POSITIVOS  ,1.668.250 ,"92,41%",""
"",VOTOS EN BLANCO  ,98.878 ,"5,48%",""
"",VOTOS ANULADOS  ,38.235 ,"2,12%",""
"",TOTAL DE  VOTANTES  ,1.805.363 ,"",""
