"",ELECTORES HABILES ,2.789.055,"",""
"",MESAS: ,8.412 ,"",""
"",PORCENTAJE DE VOTANTES ,"71,20%","",""
"",FORMULAS - AGRUPACIONES POLITICAS ,VOTOS ,% POSITIVOS ,% VALIDOS
  131 ,ALIANZA FRENTE PARA LA VICTORIA ,280.740 ,"14,65% ","14,31%"
"","SCIOLI, DANIEL OSVALDO - ZANNINI, CARLOS ALBERTO  ",280.740 ,100%,""
  135 ,ALIANZA CAMBIEMOS ,678.186 ,"35,38% ","34,57%"
"","MACRI, MAURICIO - MICHETTI, MARTA GABRIELA  ",566.109 ,"83,47%",""
"","SANZ, ERNESTO RICARDO - LLACH, LUCAS  ",69.155 ,"10,20%",""
"","CARRIO, ELISA MARIA AVELINA - FLORES, HECTOR ANTONIO  ",42.922 ,"6,33%",""
  138 ,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA) ,744.021 ,"38,81% ","37,93%"
"","MASSA, SERGIO TOMAS - RUBERTO SAENZ, GUSTAVO ADOLFO  ",108.157 ,"14,54%",""
"","DE LA SOTA, JOSE MANUEL - RUCCI, CLAUDIA MONICA  ",635.864 ,"85,46%",""
  132 ,ALIANZA PROGRESISTAS ,44.422 ,"2,32% ","2,26%"
"","STOLBIZER, MARGARITA ROSA - OLAVIAGA, MIGUEL ANGEL  ",44.422 ,100%,""
  137 ,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES ,70.650 ,"3,69% ","3,60%"
"","DEL CAÑO, NICOLAS - BREGMAN, MYRIAM TERESA  ",29.516 ,"41,78%",""
"","ALTAMIRA, JORGE - GIORDANO, JUAN CARLOS  ",41.134 ,"58,22%",""
  133 ,ALIANZA COMPROMISO FEDERAL ,57.298 ,"2,99% ","2,92%"
"","RODRIGUEZ SAA, ADOLFO - NEGRE DE ALONSO, LILIANA TERESITA  ",57.298 ,100%,""
  136 ,ALIANZA FRENTE POPULAR ,9.302 ,"0,49% ","0,47%"
"","DE GENNARO, VICTOR NORBERTO - CODONI, EVANGELINA SOLEDAD  ",9.302 ,100%,""
13 ,MOVIMIENTO AL SOCIALISMO ,7.832 ,"0,41% ","0,40%"
"","CASTAÑEIRA, MANUELA JIMENA - AYALA, JORGE LUIS  ",7.832 ,100%,""
  134 ,MST - NUEVA IZQUIERDA ,10.315 ,"0,54% ","0,53%"
"","BODART, HUGO ALEJANDRO - RIPOLL, VILMA ANA  ",10.315 ,100%,""
81 ,PARTIDO POPULAR ,8.570 ,"0,45% ","0,44%"
"","YATTAH, MAURICIO JORGE - MORETTA, MARIA BELEN  ",8.570 ,100%,""
57 ,MOVIMIENTO DE ACCION VECINAL ,5.589 ,"0,29% ","0,28%"
"","ALBARRACIN, RAUL HUMBERTO - DIB, GASTON  ",5.589 ,100%,""
"",VOTOS POSITIVOS  ,1.916.925 ,"96,53%",""
"",VOTOS EN BLANCO  ,44.888 ,"2,26%",""
"",VOTOS ANULADOS  ,24.009 ,"1,21%",""
"",TOTAL DE  VOTANTES  ,1.985.822 ,"",""
