"",ELECTORES HABILES ,269.047,"",""
"",MESAS: ,873 ,"",(Incluye P.L.)
"",PORCENTAJE DE VOTANTES ,"66,34%","",""
"",FORMULAS - AGRUPACIONES POLITICAS ,VOTOS ,% POSITIVOS ,% VALIDOS
  131 ,ALIANZA FRENTE PARA LA VICTORIA ,68.818 ,"40,76% ","38,92%"
"","SCIOLI, DANIEL OSVALDO - ZANNINI, CARLOS ALBERTO  ",68.818 ,100%,""
  135 ,ALIANZA CAMBIEMOS ,45.642 ,"27,03% ","25,81%"
"","MACRI, MAURICIO - MICHETTI, MARTA GABRIELA  ",37.583 ,"82,34%",""
"","SANZ, ERNESTO RICARDO - LLACH, LUCAS  ",5.396 ,"11,82%",""
"","CARRIO, ELISA MARIA AVELINA - FLORES, HECTOR ANTONIO  ",2.663 ,"5,83%",""
  138 ,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA) ,40.988 ,"24,28% ","23,18%"
"","MASSA, SERGIO TOMAS - RUBERTO SAENZ, GUSTAVO ADOLFO  ",24.618 ,"60,06%",""
"","DE LA SOTA, JOSE MANUEL - RUCCI, CLAUDIA MONICA  ",16.370 ,"39,94%",""
  132 ,ALIANZA PROGRESISTAS ,1.146 ,"0,68% ","0,65%"
"","STOLBIZER, MARGARITA ROSA - OLAVIAGA, MIGUEL ANGEL  ",1.146 ,100%,""
  137 ,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES ,2.404 ,"1,42% ","1,36%"
"","DEL CAÑO, NICOLAS - BREGMAN, MYRIAM TERESA  ",843 ,"35,07%",""
"","ALTAMIRA, JORGE - GIORDANO, JUAN CARLOS  ",1.561 ,"64,93%",""
  133 ,ALIANZA COMPROMISO FEDERAL ,7.081 ,"4,19% ","4,00%"
"","RODRIGUEZ SAA, ADOLFO - NEGRE DE ALONSO, LILIANA TERESITA  ",7.081 ,100%,""
  136 ,ALIANZA FRENTE POPULAR ,645 ,"0,38% ","0,36%"
"","DE GENNARO, VICTOR NORBERTO - CODONI, EVANGELINA SOLEDAD  ",645 ,100%,""
13 ,MOVIMIENTO AL SOCIALISMO ,557 ,"0,33% ","0,32%"
"","CASTAÑEIRA, MANUELA JIMENA - AYALA, JORGE LUIS  ",557 ,100%,""
  134 ,MST - NUEVA IZQUIERDA ,602 ,"0,36% ","0,34%"
"","BODART, HUGO ALEJANDRO - RIPOLL, VILMA ANA  ",602 ,100%,""
81 ,PARTIDO POPULAR ,612 ,"0,36% ","0,35%"
"","YATTAH, MAURICIO JORGE - MORETTA, MARIA BELEN  ",612 ,100%,""
57 ,MOVIMIENTO DE ACCION VECINAL ,336 ,"0,20% ","0,19%"
"","ALBARRACIN, RAUL HUMBERTO - DIB, GASTON  ",336 ,100%,""
"",VOTOS POSITIVOS  ,168.831 ,"94,60%",""
"",VOTOS EN BLANCO  ,7.974 ,"4,47%",""
"",VOTOS ANULADOS  ,1.668 ,"0,93%",""
"",TOTAL DE  VOTANTES  ,178.473 ,"",""
