"",ELECTORES HABILES ,1.363.969,"",""
"",MESAS: ,3.997 ,"",(Incluye P.L.)
"",PORCENTAJE DE VOTANTES ,"78,59%","",""
"",FORMULAS - AGRUPACIONES POLITICAS ,VOTOS ,% POSITIVOS ,% VALIDOS
  131 ,ALIANZA FRENTE PARA LA VICTORIA ,336.797 ,"33,47% ","31,90%"
"","SCIOLI, DANIEL OSVALDO - ZANNINI, CARLOS ALBERTO  ",336.797 ,100%,""
  135 ,ALIANZA CAMBIEMOS ,363.589 ,"36,13% ","34,44%"
"","MACRI, MAURICIO - MICHETTI, MARTA GABRIELA  ",259.539 ,"71,38%",""
"","SANZ, ERNESTO RICARDO - LLACH, LUCAS  ",90.799 ,"24,97%",""
"","CARRIO, ELISA MARIA AVELINA - FLORES, HECTOR ANTONIO  ",13.251 ,"3,64%",""
  138 ,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA) ,134.547 ,"13,37% ","12,75%"
"","MASSA, SERGIO TOMAS - RUBERTO SAENZ, GUSTAVO ADOLFO  ",97.710 ,"72,62%",""
"","DE LA SOTA, JOSE MANUEL - RUCCI, CLAUDIA MONICA  ",36.837 ,"27,38%",""
  132 ,ALIANZA PROGRESISTAS ,13.974 ,"1,39% ","1,32%"
"","STOLBIZER, MARGARITA ROSA - OLAVIAGA, MIGUEL ANGEL  ",13.974 ,100%,""
  137 ,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES ,90.642 ,"9,01% ","8,59%"
"","DEL CAÑO, NICOLAS - BREGMAN, MYRIAM TERESA  ",83.459 ,"92,08%",""
"","ALTAMIRA, JORGE - GIORDANO, JUAN CARLOS  ",7.183 ,"7,92%",""
  133 ,ALIANZA COMPROMISO FEDERAL ,52.545 ,"5,22% ","4,98%"
"","RODRIGUEZ SAA, ADOLFO - NEGRE DE ALONSO, LILIANA TERESITA  ",52.545 ,100%,""
  136 ,ALIANZA FRENTE POPULAR ,3.939 ,"0,39% ","0,37%"
"","DE GENNARO, VICTOR NORBERTO - CODONI, EVANGELINA SOLEDAD  ",3.939 ,100%,""
13 ,MOVIMIENTO AL SOCIALISMO ,3.060 ,"0,30% ","0,29%"
"","CASTAÑEIRA, MANUELA JIMENA - AYALA, JORGE LUIS  ",3.060 ,100%,""
  134 ,MST - NUEVA IZQUIERDA ,2.534 ,"0,25% ","0,24%"
"","BODART, HUGO ALEJANDRO - RIPOLL, VILMA ANA  ",2.534 ,100%,""
81 ,PARTIDO POPULAR ,3.013 ,"0,30% ","0,29%"
"","YATTAH, MAURICIO JORGE - MORETTA, MARIA BELEN  ",3.013 ,100%,""
57 ,MOVIMIENTO DE ACCION VECINAL ,1.577 ,"0,16% ","0,15%"
"","ALBARRACIN, RAUL HUMBERTO - DIB, GASTON  ",1.577 ,100%,""
"",VOTOS POSITIVOS  ,1.006.217 ,"93,87%",""
"",VOTOS EN BLANCO  ,49.465 ,"4,61%",""
"",VOTOS ANULADOS  ,16.215 ,"1,51%",""
"",TOTAL DE  VOTANTES  ,1.071.897 ,"",""
