"",ELECTORES HABILES ,2.551.306,"",""
"",MESAS: ,7.366 ,"",""
"",PORCENTAJE DE VOTANTES ,"73,81%","",""
"",FORMULAS - AGRUPACIONES POLITICAS ,VOTOS ,% POSITIVOS ,% VALIDOS
  131 ,ALIANZA FRENTE PARA LA VICTORIA ,426.934 ,"23,30% ","22,85%"
"","SCIOLI, DANIEL OSVALDO - ZANNINI, CARLOS ALBERTO  ",426.934 ,100%,""
  135 ,ALIANZA CAMBIEMOS ,897.660 ,"49,00% ","48,05%"
"","MACRI, MAURICIO - MICHETTI, MARTA GABRIELA  ",765.805 ,"85,31%",""
"","SANZ, ERNESTO RICARDO - LLACH, LUCAS  ",61.241 ,"6,82%",""
"","CARRIO, ELISA MARIA AVELINA - FLORES, HECTOR ANTONIO  ",70.614 ,"7,87%",""
  138 ,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA) ,244.779 ,"13,36% ","13,10%"
"","MASSA, SERGIO TOMAS - RUBERTO SAENZ, GUSTAVO ADOLFO  ",215.062 ,"87,86%",""
"","DE LA SOTA, JOSE MANUEL - RUCCI, CLAUDIA MONICA  ",29.717 ,"12,14%",""
  132 ,ALIANZA PROGRESISTAS ,123.108 ,"6,72% ","6,59%"
"","STOLBIZER, MARGARITA ROSA - OLAVIAGA, MIGUEL ANGEL  ",123.108 ,100%,""
  137 ,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES ,82.873 ,"4,52% ","4,44%"
"","DEL CAÑO, NICOLAS - BREGMAN, MYRIAM TERESA  ",37.154 ,"44,83%",""
"","ALTAMIRA, JORGE - GIORDANO, JUAN CARLOS  ",45.719 ,"55,17%",""
  133 ,ALIANZA COMPROMISO FEDERAL ,21.085 ,"1,15% ","1,13%"
"","RODRIGUEZ SAA, ADOLFO - NEGRE DE ALONSO, LILIANA TERESITA  ",21.085 ,100%,""
  136 ,ALIANZA FRENTE POPULAR ,10.562 ,"0,58% ","0,57%"
"","DE GENNARO, VICTOR NORBERTO - CODONI, EVANGELINA SOLEDAD  ",10.562 ,100%,""
13 ,MOVIMIENTO AL SOCIALISMO ,9.587 ,"0,52% ","0,51%"
"","CASTAÑEIRA, MANUELA JIMENA - AYALA, JORGE LUIS  ",9.587 ,100%,""
  134 ,MST - NUEVA IZQUIERDA ,10.318 ,"0,56% ","0,55%"
"","BODART, HUGO ALEJANDRO - RIPOLL, VILMA ANA  ",10.318 ,100%,""
81 ,PARTIDO POPULAR ,3.498 ,"0,19% ","0,19%"
"","YATTAH, MAURICIO JORGE - MORETTA, MARIA BELEN  ",3.498 ,100%,""
57 ,MOVIMIENTO DE ACCION VECINAL ,1.593 ,"0,09% ","0,09%"
"","ALBARRACIN, RAUL HUMBERTO - DIB, GASTON  ",1.593 ,100%,""
"",VOTOS POSITIVOS  ,1.831.997 ,"97,29%",""
"",VOTOS EN BLANCO  ,36.114 ,"1,92%",""
"",VOTOS ANULADOS  ,14.939 ,"0,79%",""
"",TOTAL DE  VOTANTES  ,1.883.050 ,"",""
