"",ELECTORES HABILES ,536.604,"",""
"",MESAS: ,1.607 ,"",""
"",PORCENTAJE DE VOTANTES ,"80,30%","",""
"",FORMULAS - AGRUPACIONES POLITICAS ,VOTOS ,% POSITIVOS ,% VALIDOS
  131 ,ALIANZA FRENTE PARA LA VICTORIA ,216.245 ,"54,65% ","50,65%"
"","SCIOLI, DANIEL OSVALDO - ZANNINI, CARLOS ALBERTO  ",216.245 ,100%,""
  135 ,ALIANZA CAMBIEMOS ,63.564 ,"16,07% ","14,89%"
"","MACRI, MAURICIO - MICHETTI, MARTA GABRIELA  ",57.451 ,"90,38%",""
"","SANZ, ERNESTO RICARDO - LLACH, LUCAS  ",4.615 ,"7,26%",""
"","CARRIO, ELISA MARIA AVELINA - FLORES, HECTOR ANTONIO  ",1.498 ,"2,36%",""
  138 ,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA) ,87.245 ,"22,05% ","20,44%"
"","MASSA, SERGIO TOMAS - RUBERTO SAENZ, GUSTAVO ADOLFO  ",60.847 ,"69,74%",""
"","DE LA SOTA, JOSE MANUEL - RUCCI, CLAUDIA MONICA  ",26.398 ,"30,26%",""
  132 ,ALIANZA PROGRESISTAS ,5.709 ,"1,44% ","1,34%"
"","STOLBIZER, MARGARITA ROSA - OLAVIAGA, MIGUEL ANGEL  ",5.709 ,100%,""
  137 ,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES ,2.861 ,"0,72% ","0,67%"
"","DEL CAÑO, NICOLAS - BREGMAN, MYRIAM TERESA  ",1.223 ,"42,75%",""
"","ALTAMIRA, JORGE - GIORDANO, JUAN CARLOS  ",1.638 ,"57,25%",""
  133 ,ALIANZA COMPROMISO FEDERAL ,15.283 ,"3,86% ","3,58%"
"","RODRIGUEZ SAA, ADOLFO - NEGRE DE ALONSO, LILIANA TERESITA  ",15.283 ,100%,""
  136 ,ALIANZA FRENTE POPULAR ,1.978 ,"0,50% ","0,46%"
"","DE GENNARO, VICTOR NORBERTO - CODONI, EVANGELINA SOLEDAD  ",1.978 ,100%,""
13 ,MOVIMIENTO AL SOCIALISMO ,716 ,"0,18% ","0,17%"
"","CASTAÑEIRA, MANUELA JIMENA - AYALA, JORGE LUIS  ",716 ,100%,""
  134 ,MST - NUEVA IZQUIERDA ,1.223 ,"0,31% ","0,29%"
"","BODART, HUGO ALEJANDRO - RIPOLL, VILMA ANA  ",1.223 ,100%,""
81 ,PARTIDO POPULAR ,449 ,"0,11% ","0,11%"
"","YATTAH, MAURICIO JORGE - MORETTA, MARIA BELEN  ",449 ,100%,""
57 ,MOVIMIENTO DE ACCION VECINAL ,384 ,"0,10% ","0,09%"
"","ALBARRACIN, RAUL HUMBERTO - DIB, GASTON  ",384 ,100%,""
"",VOTOS POSITIVOS  ,395.657 ,"91,83%",""
"",VOTOS EN BLANCO  ,31.265 ,"7,26%",""
"",VOTOS ANULADOS  ,3.947 ,"0,92%",""
"",TOTAL DE  VOTANTES  ,430.869 ,"",""
