"",ELECTORES HABILES ,1.171.255,"",""
"",MESAS: ,3.475 ,"",(Incluye P.L.)
"",PORCENTAJE DE VOTANTES ,"79,24%","",""
"",FORMULAS - AGRUPACIONES POLITICAS ,VOTOS ,% POSITIVOS ,% VALIDOS
  131 ,ALIANZA FRENTE PARA LA VICTORIA ,501.039 ,"57,48% ","54,65%"
"","SCIOLI, DANIEL OSVALDO - ZANNINI, CARLOS ALBERTO  ",501.039 ,100%,""
  135 ,ALIANZA CAMBIEMOS ,175.049 ,"20,08% ","19,09%"
"","MACRI, MAURICIO - MICHETTI, MARTA GABRIELA  ",143.915 ,"82,21%",""
"","SANZ, ERNESTO RICARDO - LLACH, LUCAS  ",19.036 ,"10,87%",""
"","CARRIO, ELISA MARIA AVELINA - FLORES, HECTOR ANTONIO  ",12.098 ,"6,91%",""
  138 ,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA) ,141.527 ,"16,24% ","15,44%"
"","MASSA, SERGIO TOMAS - RUBERTO SAENZ, GUSTAVO ADOLFO  ",92.504 ,"65,36%",""
"","DE LA SOTA, JOSE MANUEL - RUCCI, CLAUDIA MONICA  ",49.023 ,"34,64%",""
  132 ,ALIANZA PROGRESISTAS ,12.500 ,"1,43% ","1,36%"
"","STOLBIZER, MARGARITA ROSA - OLAVIAGA, MIGUEL ANGEL  ",12.500 ,100%,""
  137 ,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES ,17.366 ,"1,99% ","1,89%"
"","DEL CAÑO, NICOLAS - BREGMAN, MYRIAM TERESA  ",8.942 ,"51,49%",""
"","ALTAMIRA, JORGE - GIORDANO, JUAN CARLOS  ",8.424 ,"48,51%",""
  133 ,ALIANZA COMPROMISO FEDERAL ,9.155 ,"1,05% ","1,00%"
"","RODRIGUEZ SAA, ADOLFO - NEGRE DE ALONSO, LILIANA TERESITA  ",9.155 ,100%,""
  136 ,ALIANZA FRENTE POPULAR ,3.600 ,"0,41% ","0,39%"
"","DE GENNARO, VICTOR NORBERTO - CODONI, EVANGELINA SOLEDAD  ",3.600 ,100%,""
13 ,MOVIMIENTO AL SOCIALISMO ,3.578 ,"0,41% ","0,39%"
"","CASTAÑEIRA, MANUELA JIMENA - AYALA, JORGE LUIS  ",3.578 ,100%,""
  134 ,MST - NUEVA IZQUIERDA ,3.032 ,"0,35% ","0,33%"
"","BODART, HUGO ALEJANDRO - RIPOLL, VILMA ANA  ",3.032 ,100%,""
81 ,PARTIDO POPULAR ,2.922 ,"0,34% ","0,32%"
"","YATTAH, MAURICIO JORGE - MORETTA, MARIA BELEN  ",2.922 ,100%,""
57 ,MOVIMIENTO DE ACCION VECINAL ,1.869 ,"0,21% ","0,20%"
"","ALBARRACIN, RAUL HUMBERTO - DIB, GASTON  ",1.869 ,100%,""
"",VOTOS POSITIVOS  ,871.637 ,"93,91%",""
"",VOTOS EN BLANCO  ,45.188 ,"4,87%",""
"",VOTOS ANULADOS  ,11.329 ,"1,22%",""
"",TOTAL DE  VOTANTES  ,928.154 ,"",""
