"",ELECTORES HABILES ,810.712,"",""
"",MESAS: ,2.403 ,"",""
"",PORCENTAJE DE VOTANTES ,"74,74%","",""
"",FORMULAS - AGRUPACIONES POLITICAS ,VOTOS ,% POSITIVOS ,% VALIDOS
  131 ,ALIANZA FRENTE PARA LA VICTORIA ,290.172 ,"50,45% ","48,31%"
"","SCIOLI, DANIEL OSVALDO - ZANNINI, CARLOS ALBERTO  ",290.172 ,100%,""
  135 ,ALIANZA CAMBIEMOS ,169.482 ,"29,47% ","28,22%"
"","MACRI, MAURICIO - MICHETTI, MARTA GABRIELA  ",105.183 ,"62,06%",""
"","SANZ, ERNESTO RICARDO - LLACH, LUCAS  ",50.229 ,"29,64%",""
"","CARRIO, ELISA MARIA AVELINA - FLORES, HECTOR ANTONIO  ",14.070 ,"8,30%",""
  138 ,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA) ,92.226 ,"16,03% ","15,36%"
"","MASSA, SERGIO TOMAS - RUBERTO SAENZ, GUSTAVO ADOLFO  ",75.729 ,"82,11%",""
"","DE LA SOTA, JOSE MANUEL - RUCCI, CLAUDIA MONICA  ",16.497 ,"17,89%",""
  132 ,ALIANZA PROGRESISTAS ,5.850 ,"1,02% ","0,97%"
"","STOLBIZER, MARGARITA ROSA - OLAVIAGA, MIGUEL ANGEL  ",5.850 ,100%,""
  137 ,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES ,5.394 ,"0,94% ","0,90%"
"","DEL CAÑO, NICOLAS - BREGMAN, MYRIAM TERESA  ",3.093 ,"57,34%",""
"","ALTAMIRA, JORGE - GIORDANO, JUAN CARLOS  ",2.301 ,"42,66%",""
  133 ,ALIANZA COMPROMISO FEDERAL ,3.225 ,"0,56% ","0,54%"
"","RODRIGUEZ SAA, ADOLFO - NEGRE DE ALONSO, LILIANA TERESITA  ",3.225 ,100%,""
  136 ,ALIANZA FRENTE POPULAR ,1.297 ,"0,23% ","0,22%"
"","DE GENNARO, VICTOR NORBERTO - CODONI, EVANGELINA SOLEDAD  ",1.297 ,100%,""
13 ,MOVIMIENTO AL SOCIALISMO ,2.282 ,"0,40% ","0,38%"
"","CASTAÑEIRA, MANUELA JIMENA - AYALA, JORGE LUIS  ",2.282 ,100%,""
  134 ,MST - NUEVA IZQUIERDA ,1.311 ,"0,23% ","0,22%"
"","BODART, HUGO ALEJANDRO - RIPOLL, VILMA ANA  ",1.311 ,100%,""
81 ,PARTIDO POPULAR ,2.427 ,"0,42% ","0,40%"
"","YATTAH, MAURICIO JORGE - MORETTA, MARIA BELEN  ",2.427 ,100%,""
57 ,MOVIMIENTO DE ACCION VECINAL ,1.521 ,"0,26% ","0,25%"
"","ALBARRACIN, RAUL HUMBERTO - DIB, GASTON  ",1.521 ,100%,""
"",VOTOS POSITIVOS  ,575.187 ,"94,93%",""
"",VOTOS EN BLANCO  ,25.418 ,"4,20%",""
"",VOTOS ANULADOS  ,5.295 ,"0,87%",""
"",TOTAL DE  VOTANTES  ,605.900 ,"",""
