"",ELECTORES HABILES,851.144,"",""
"",MESAS:, 2.481,"","",""
"",PORCENTAJE DE VOTANTES,"76,47%",""
"",FORMULAS - AGRUPACIONES POLITICAS,VOTOS,% POSITIVOS,% VALIDOS
131,ALIANZA FRENTE PARA LA VICTORIA,355.537,"57,60%","55,17%"
"","SCIOLI, DANIEL OSVALDO - ZANNINI, CARLOS ALBERTO",355.537,100%,""
135,ALIANZA CAMBIEMOS,136.573,"22,13%","21,19%"
"","MACRI, MAURICIO - MICHETTI, MARTA GABRIELA",85.361,"62,50%",""
"","SANZ, ERNESTO RICARDO - LLACH, LUCAS",36.222,"26,52%",""
"","CARRIO, ELISA MARIA AVELINA - FLORES, HECTOR ANTONIO",14.990,"10,98%",""
138,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),90.922,"14,73%","14,11%"
"","MASSA, SERGIO TOMAS - RUBERTO SAENZ, GUSTAVO ADOLFO",51.361,"56,49%",""
"","DE LA SOTA, JOSE MANUEL - RUCCI, CLAUDIA MONICA",39.561,"43,51%",""
132,ALIANZA PROGRESISTAS,7.391,"1,20%","1,15%"
"","STOLBIZER, MARGARITA ROSA - OLAVIAGA, MIGUEL ANGEL",7.391,100%,""
137,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,8.697,"1,41%","1,35%"
"","DEL CAÑO, NICOLAS - BREGMAN, MYRIAM TERESA",4.521,"51,98%",""
"","ALTAMIRA, JORGE - GIORDANO, JUAN CARLOS",4.176,"48,02%",""
133,ALIANZA COMPROMISO FEDERAL,3.765,"0,61%","0,58%"
"","RODRIGUEZ SAA, ADOLFO - NEGRE DE ALONSO, LILIANA TERESITA",3.765,100%,""
136,ALIANZA FRENTE POPULAR,3.870,"0,63%","0,60%"
"","DE GENNARO, VICTOR NORBERTO - CODONI, EVANGELINA SOLEDAD",3.870,100%,""
13,MOVIMIENTO AL SOCIALISMO,2.908,"0,47%","0,45%"
"","CASTAÑEIRA, MANUELA JIMENA - AYALA, JORGE LUIS",2.908,100%,""
134,MST - NUEVA IZQUIERDA,2.941,"0,48%","0,46%"
"","BODART, HUGO ALEJANDRO - RIPOLL, VILMA ANA",2.941,100%,""
81,PARTIDO POPULAR,3.217,"0,52%","0,50%"
"","YATTAH, MAURICIO JORGE - MORETTA, MARIA BELEN",3.217,100%,""
57,MOVIMIENTO DE ACCION VECINAL,1.404,"0,23%","0,22%"
"","ALBARRACIN, RAUL HUMBERTO - DIB, GASTON",1.404,100%,""
"",VOTOS POSITIVOS,617.225,"94,83%"
"",VOTOS EN BLANCO,27.190,"4,18%"
"",VOTOS ANULADOS,6.492,"1,00%"
"",TOTAL DE  VOTANTES,650.907,""
