"",ELECTORES HABILES ,699.513,"",""
"",MESAS: ,2.123 ,"",""
"",PORCENTAJE DE VOTANTES ,"68,89%","",""
"",FORMULAS - AGRUPACIONES POLITICAS ,VOTOS ,% POSITIVOS ,% VALIDOS
  131 ,ALIANZA FRENTE PARA LA VICTORIA ,311.640 ,"66,65% ","64,97%"
"","SCIOLI, DANIEL OSVALDO - ZANNINI, CARLOS ALBERTO  ",311.640 ,100%,""
  135 ,ALIANZA CAMBIEMOS ,66.393 ,"14,20% ","13,84%"
"","MACRI, MAURICIO - MICHETTI, MARTA GABRIELA  ",57.264 ,"86,25%",""
"","SANZ, ERNESTO RICARDO - LLACH, LUCAS  ",4.975 ,"7,49%",""
"","CARRIO, ELISA MARIA AVELINA - FLORES, HECTOR ANTONIO  ",4.154 ,"6,26%",""
  138 ,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA) ,70.108 ,"14,99% ","14,62%"
"","MASSA, SERGIO TOMAS - RUBERTO SAENZ, GUSTAVO ADOLFO  ",59.518 ,"84,89%",""
"","DE LA SOTA, JOSE MANUEL - RUCCI, CLAUDIA MONICA  ",10.590 ,"15,11%",""
  132 ,ALIANZA PROGRESISTAS ,4.543 ,"0,97% ","0,95%"
"","STOLBIZER, MARGARITA ROSA - OLAVIAGA, MIGUEL ANGEL  ",4.543 ,100%,""
  137 ,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES ,5.679 ,"1,21% ","1,18%"
"","DEL CAÑO, NICOLAS - BREGMAN, MYRIAM TERESA  ",2.409 ,"42,42%",""
"","ALTAMIRA, JORGE - GIORDANO, JUAN CARLOS  ",3.270 ,"57,58%",""
  133 ,ALIANZA COMPROMISO FEDERAL ,2.312 ,"0,49% ","0,48%"
"","RODRIGUEZ SAA, ADOLFO - NEGRE DE ALONSO, LILIANA TERESITA  ",2.312 ,100%,""
  136 ,ALIANZA FRENTE POPULAR ,1.295 ,"0,28% ","0,27%"
"","DE GENNARO, VICTOR NORBERTO - CODONI, EVANGELINA SOLEDAD  ",1.295 ,100%,""
13 ,MOVIMIENTO AL SOCIALISMO ,1.376 ,"0,29% ","0,29%"
"","CASTAÑEIRA, MANUELA JIMENA - AYALA, JORGE LUIS  ",1.376 ,100%,""
  134 ,MST - NUEVA IZQUIERDA ,1.787 ,"0,38% ","0,37%"
"","BODART, HUGO ALEJANDRO - RIPOLL, VILMA ANA  ",1.787 ,100%,""
81 ,PARTIDO POPULAR ,1.716 ,"0,37% ","0,36%"
"","YATTAH, MAURICIO JORGE - MORETTA, MARIA BELEN  ",1.716 ,100%,""
57 ,MOVIMIENTO DE ACCION VECINAL ,725 ,"0,16% ","0,15%"
"","ALBARRACIN, RAUL HUMBERTO - DIB, GASTON  ",725 ,100%,""
"",VOTOS POSITIVOS  ,467.574 ,"97,03%",""
"",VOTOS EN BLANCO  ,12.121 ,"2,52%",""
"",VOTOS ANULADOS  ,2.173 ,"0,45%",""
"",TOTAL DE  VOTANTES  ,481.868 ,"",""
